(venv) [tuanmacbookpro@Tuans-MacBook-Pro-2 untitled folder 3 ]$ python main.py
✅ P_02/P_02_mat_000.png | Before: 6.85 KB | After: 3.14 KB
✅ MakerAll-Stars SkinPack/Skin_graphics/P_04/P_04_mat_008.png | Before: 7.47 KB | After: 2.58 KB
✅ MakerAll-Stars SkinPack/Skin_graphics/P_04/P_04/P_04_mat_008.png | Before: 7.47 KB | After: 2.58 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_03/P_03_mat_007.png | Before: 3.34 KB | After: 3.45 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_03/P_03_mat_001.png | Before: 2.55 KB | After: 2.65 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_03/P_03/P_03_mat_007.png | Before: 3.28 KB | After: 3.39 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_03/P_03/P_03_mat_001.png | Before: 2.55 KB | After: 2.65 KB
✅ MakerAll-Stars SkinPack/Skin_graphics/P_03/P_03/P_03_mat_000.png | Before: 7.92 KB | After: 3.03 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_02/P_02_mat_017.png | Before: 2.85 KB | After: 2.98 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_02/P_02_mat_015.png | Before: 3.42 KB | After: 3.56 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_02/P_02_mat_010.png | Before: 3.24 KB | After: 3.34 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_02/P_02_mat_013.png | Before: 2.59 KB | After: 2.69 KB
✅ MakerAll-Stars SkinPack/Skin_graphics/P_05/P_05_mat_020.png | Before: 7.89 KB | After: 2.50 KB
✅ MakerAll-Stars SkinPack/Skin_graphics/P_05/P_05/P_05_mat_020.png | Before: 7.86 KB | After: 2.50 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/B_01/B_01_mat_004.png | Before: 8.30 KB | After: 8.74 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_019.png | Before: 2.55 KB | After: 2.62 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_018.png | Before: 2.63 KB | After: 2.75 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_009.png | Before: 3.06 KB | After: 3.17 KB
